(16, 32, 16, 32)
(0, 16, 16, 32)
(19, 20, 3, 4)
(25, 26, 18, 19)
(16, 32, 16, 32)
(16, 32, 0, 16)
(16, 32, 0, 16)
(0, 16, 16, 32)
(8, 16, 0, 8)
(16, 24, 8, 16)
(16, 32, 16, 32)
(0, 16, 16, 32)
(8, 9, 2, 3)
(0, 16, 0, 16)
(15, 16, 6, 7)
(16, 32, 0, 16)
(16, 32, 16, 32)
(24, 25, 31, 32)
(31, 32, 31, 32)
(3, 4, 17, 18)
(0, 4, 16, 20)
(8, 16, 8, 16)
(16, 32, 16, 32)
(7, 8, 2, 3)
(26, 27, 25, 26)
(0, 16, 0, 16)
(14, 16, 2, 4)
(18, 19, 24, 25)
(16, 32, 0, 16)
(24, 32, 8, 16)
(7, 8, 7, 8)
(0, 16, 0, 16)
(8, 16, 16, 24)
(24, 25, 25, 26)
(0, 16, 16, 32)
(17, 18, 1, 2)
(0, 16, 16, 32)
(16, 32, 16, 32)
(1, 2, 12, 13)
(12, 16, 4, 8)
(16, 32, 0, 16)
(16, 20, 4, 8)
(16, 32, 16, 32)
(16, 32, 16, 32)
(16, 32, 0, 16)
(22, 24, 28, 30)
(0, 16, 16, 32)
(0, 16, 16, 32)
(16, 32, 0, 16)
(0, 16, 0, 16)
(7, 8, 13, 14)
(0, 16, 0, 16)
(16, 32, 16, 32)
(0, 16, 16, 32)
(16, 17, 31, 32)
(0, 16, 0, 16)
(5, 6, 11, 12)
(0, 16, 0, 16)
(0, 16, 0, 16)
(11, 12, 17, 18)
(16, 32, 16, 32)
(5, 6, 3, 4)
(0, 16, 0, 16)
(8, 9, 3, 4)
(14, 16, 20, 22)
(0, 16, 0, 16)
(23, 24, 3, 4)
(23, 24, 8, 9)
(18, 19, 24, 25)
(21, 22, 10, 11)
(0, 16, 0, 16)
(16, 32, 16, 32)
(16, 32, 0, 16)
(16, 32, 16, 32)
(16, 32, 16, 32)
(15, 16, 19, 20)
(16, 32, 0, 16)
(4, 5, 15, 16)
(16, 32, 0, 16)
(16, 32, 0, 16)
(0, 16, 16, 32)
(0, 16, 16, 32)
(27, 28, 29, 30)
(16, 32, 16, 32)
(16, 32, 16, 32)
(16, 32, 16, 32)
(16, 32, 16, 32)
(8, 9, 7, 8)
(12, 16, 4, 8)
(7, 8, 1, 2)
(6, 7, 13, 14)
(16, 32, 16, 32)
(0, 16, 0, 16)
(0, 16, 16, 32)
(6, 7, 20, 21)
(16, 32, 16, 32)
(6, 7, 6, 7)
(11, 12, 28, 29)
(16, 24, 8, 16)
(24, 25, 20, 21)
(11, 12, 20, 21)
(17, 18, 15, 16)
(3, 4, 7, 8)
(6, 7, 3, 4)
(17, 18, 5, 6)
(16, 32, 0, 16)
(16, 32, 16, 32)
(16, 32, 16, 32)
(16, 32, 16, 32)
(8, 16, 0, 8)
(0, 16, 0, 16)
(20, 21, 0, 1)
(18, 19, 28, 29)
(0, 16, 16, 32)
(16, 32, 0, 16)
(16, 32, 0, 16)
(16, 18, 0, 2)
(0, 16, 0, 16)
(0, 16, 0, 16)
(2, 3, 10, 11)
(2, 3, 7, 8)
(0, 16, 16, 32)
(16, 32, 0, 16)
(16, 20, 16, 20)
(18, 19, 30, 31)
(0, 16, 0, 16)
(0, 16, 16, 32)
(0, 16, 16, 32)
(0, 16, 16, 32)
(16, 32, 0, 16)
(16, 32, 16, 32)
(27, 28, 14, 15)
(17, 18, 25, 26)
(20, 21, 20, 21)
(16, 32, 16, 32)
(0, 16, 0, 16)
(10, 11, 13, 14)
(15, 16, 25, 26)
(16, 32, 16, 32)
(0, 16, 16, 32)
(0, 16, 16, 32)
(19, 20, 16, 17)
(16, 32, 16, 32)
(0, 16, 0, 16)
(0, 16, 0, 16)
(24, 25, 13, 14)
(15, 16, 6, 7)
(0, 16, 0, 16)
(7, 8, 2, 3)
(0, 16, 0, 16)
(0, 16, 16, 32)
(16, 32, 16, 32)
(0, 16, 16, 32)
(8, 9, 2, 3)
(17, 18, 25, 26)
(16, 32, 0, 16)
(0, 16, 16, 32)
(6, 8, 20, 22)
(4, 5, 29, 30)
(0, 16, 0, 16)
(16, 32, 16, 32)
(16, 32, 16, 32)
(7, 8, 0, 1)
(0, 16, 16, 32)
(5, 6, 18, 19)
(8, 9, 7, 8)
(16, 32, 0, 16)
(16, 17, 4, 5)
(0, 16, 16, 32)
(16, 32, 16, 32)
(16, 32, 16, 32)
(0, 16, 16, 32)
(5, 6, 11, 12)
(16, 32, 16, 32)
(16, 24, 16, 24)
(16, 32, 0, 16)
(16, 32, 0, 16)
(16, 32, 0, 16)
(16, 32, 16, 32)
(0, 16, 16, 32)
(0, 16, 16, 32)
(16, 32, 16, 32)
(16, 32, 0, 16)
(0, 16, 0, 16)
(24, 25, 5, 6)
(16, 32, 0, 16)
(15, 16, 20, 21)
(10, 11, 16, 17)
(0, 16, 0, 16)
(0, 16, 16, 32)
